Region,Children in poverty,Access to exercise opportunities,Adult obesity,Alcohol-impaired driving deaths,Excessive drinking
South,0.293,1.0,0.215,0.322,0.196
South,0.217,0.62,0.338,0.531,0.161
South,0.202,0.741,0.327,0.465,0.161
South,0.152,0.955,0.267,0.331,0.216
South,0.169,0.973,0.259,0.362,0.216
South,0.284,0.467,0.299,0.401,0.179
South,0.246,0.745,0.307,0.373,0.179
South,0.269,0.709,0.252,0.261,0.141
South,0.257,0.853,0.246,0.289,0.141
South,0.261,0.441,0.367,0.351,0.119
South,0.256,0.54,0.371,0.389,0.119
South,0.26,0.472,0.285,0.408,0.211
South,0.284,0.784,0.287,0.375,0.211
South,0.345,0.372,0.357,0.286,0.159
South,0.291,0.821,0.359,0.281,0.159
South,0.232,0.755,0.284,0.326,0.197
South,0.219,0.909,0.289,0.325,0.197
South,0.214,0.938,0.241,0.194,0.15
South,0.195,0.995,0.247,0.211,0.15
South,0.307,0.127,0.361,0.5,0.081
South,0.327,0.043,0.37,0.444,0.081
South,0.244,0.755,0.257,0.282,0.131
South,0.253,0.911,0.248,0.287,0.131
South,0.342,0.678,0.293,0.291,0.15
South,0.291,0.871,0.27,0.279,0.15
South,0.153,0.643,0.282,0.419,0.16
South,0.141,0.898,0.288,0.435,0.16
South,0.244,0.644,0.209,0.234,0.175
South,0.241,0.914,0.199,0.262,0.175
South,0.337,0.609,0.349,0.315,0.162
South,0.295,0.766,0.358,0.278,0.162
South,0.435,0.167,0.344,0.459,0.154
South,0.465,0.536,0.347,0.5,0.154
South,0.37,0.48,0.357,0.44,0.074
